City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,wailua homesteads,22.0669,-159.378,300.59,79,0,3.09,US,1699579773
1,cerritos,33.8583,-118.0648,296.64,25,75,0.89,US,1699579774
2,klyuchi,52.2667,79.1667,278.04,89,100,3.53,RU,1699579412
3,port-aux-francais,-49.35,70.2167,278.38,97,100,9.68,TF,1699579774
4,thetford-mines,46.0937,-71.3054,270.21,97,100,2.74,CA,1699579775
5,bilibino,68.0546,166.4372,249.72,100,92,0.41,RU,1699579775
6,livorno,43.2333,10.5833,290.81,100,100,5.1,IT,1699579775
7,san matias,-16.3667,-58.4,299.24,71,66,2.05,BO,1699579776
8,nadvoitsy,63.8667,34.3167,269.58,93,92,2.03,RU,1699579776
9,ushuaia,-54.8,-68.3,281.96,86,40,5.66,AR,1699579777
10,newman,37.3138,-121.0208,290.53,48,100,0.45,US,1699579778
11,tindouf,27.6711,-8.1474,292.4,26,20,3.09,DZ,1699579778
12,kiunga,-6.1219,141.2906,304.29,59,37,1.68,PG,1699579778
13,ribeira grande,38.5167,-28.7,294.14,95,45,7.15,PT,1699579779
14,papatowai,-46.5619,169.4708,285.43,48,5,2.94,NZ,1699579779
15,bredasdorp,-34.5322,20.0403,286.9,80,0,1.73,ZA,1699579781
16,adamstown,-25.066,-130.1015,295.89,85,100,6.38,PN,1699579781
17,saipan,15.1355,145.701,304.54,74,40,6.69,MP,1699579781
18,tazovsky,67.4667,78.7,268.21,87,100,8.4,RU,1699579782
19,weno,7.4515,151.8468,300.12,89,100,4.63,FM,1699579782
20,edinburgh of the seven seas,-37.0676,-12.3116,285.11,65,83,2.63,SH,1699579783
21,manakara,-22.1333,48.0167,295.15,95,78,1.6,MG,1699579783
22,bethel,41.3712,-73.414,281.29,89,0,1.54,US,1699579783
23,yeppoon,-23.1333,150.7333,302.03,58,0,5.41,AU,1699579784
24,puerto ayora,-0.7393,-90.3518,297.9,92,100,2.68,EC,1699579785
25,rongelap,11.1635,166.8941,301.08,78,100,9.67,MH,1699579785
26,grytviken,-54.2811,-36.5092,275.22,97,100,2.4,GS,1699579786
27,cabo san lucas,22.8909,-109.9124,300.66,75,40,2.06,MX,1699579786
28,opuwo,-18.0607,13.84,295.28,28,14,1.82,NA,1699579787
29,utrik,11.2278,169.8474,300.98,76,100,9.37,MH,1699579787
30,yellowknife,62.456,-114.3525,273.46,98,100,12.35,CA,1699579788
31,porto velho,-8.7619,-63.9039,302.18,70,0,0.51,BR,1699579544
32,puerto natales,-51.7236,-72.4875,282.4,49,40,6.17,CL,1699579788
33,afaahiti,-17.75,-149.2833,302.08,83,33,5.3,PF,1699579789
34,kayyerkan,69.3786,87.7439,267.76,79,100,8.39,RU,1699579789
35,flying fish cove,-10.4217,105.6791,300.97,74,75,3.09,CX,1699579790
